canonical_arxiv_id,published_month,primary_category,categories_text,rule_primary_paradigm,rule_secondary_paradigms,rule_confidence_proxy,rule_total_score,rule_score_json
2607.02718,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Dataset/Benchmark,Multimodal | Benchmark/Evaluation | Efficiency/Optimization,0.5,8,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 1, ""Multimodal"": 2, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 4, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.02715,2026-07,cs.LG,cs.LG,Benchmark/Evaluation,Efficiency/Optimization | Reasoning,0.6,5,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 1, ""Multimodal"": 0, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.02686,2026-07,cs.AI,"cs.AI, cs.LG",Reasoning,Agent/Tool Use,0.6667,3,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 0, ""Reasoning"": 2, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.02668,2026-07,cs.CL,cs.CL,Agent/Tool Use,Alignment/Safety | Benchmark/Evaluation | Theory/Methodology,0.25,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 1, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.02512,2026-07,cs.LG,"cs.LG, cs.AI, cs.CL",Efficiency/Optimization,Application | Dataset/Benchmark,0.7143,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 5, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 0, ""Application"": 1}"
2607.02509,2026-07,cs.AI,cs.AI,Dataset/Benchmark,Application | Efficiency/Optimization | Theory/Methodology,0.2727,11,"{""RAG/Retrieval"": 1, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 3, ""Theory/Methodology"": 2, ""Application"": 2}"
2607.02502,2026-07,cs.LG,"cs.LG, cs.AI",Benchmark/Evaluation,Efficiency/Optimization | Reasoning | Theory/Methodology,0.4286,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 2, ""Multimodal"": 0, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.02494,2026-07,cs.CV,"cs.CV, cs.CL",Multimodal,Alignment/Safety | Application | Theory/Methodology,0.3333,15,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 4, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 5, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 2, ""Application"": 3}"
2607.0249,2026-07,cs.CL,"cs.CL, cs.CV",Multimodal,Benchmark/Evaluation | Reasoning,0.5455,11,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 2, ""Efficiency/Optimization"": 0, ""Multimodal"": 6, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.02464,2026-07,cs.CL,cs.CL,Benchmark/Evaluation,Alignment/Safety | Dataset/Benchmark | Reasoning,0.4286,7,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 1, ""Reasoning"": 1, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 3, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.02461,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Multimodal,Efficiency/Optimization | Reasoning,0.5,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 1, ""Efficiency/Optimization"": 1, ""Multimodal"": 2, ""Benchmark/Evaluation"": 0, ""Dataset/Benchmark"": 0, ""Theory/Methodology"": 0, ""Application"": 0}"
2607.0246,2026-07,cs.LG,"cs.LG, cs.AI",Benchmark/Evaluation,Dataset/Benchmark | Efficiency/Optimization | Theory/Methodology,0.4,5,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 0, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 1, ""Multimodal"": 0, ""Benchmark/Evaluation"": 2, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 1, ""Application"": 0}"
2607.02459,2026-07,cs.CL,cs.CL,Agent/Tool Use,Benchmark/Evaluation | Dataset/Benchmark | Theory/Methodology,0.25,4,"{""RAG/Retrieval"": 0, ""Agent/Tool Use"": 1, ""Alignment/Safety"": 0, ""Reasoning"": 0, ""Efficiency/Optimization"": 0, ""Multimodal"": 0, ""Benchmark/Evaluation"": 1, ""Dataset/Benchmark"": 1, ""Theory/Methodology"": 1, ""Application"": 0}"
